option_type,strike,expiry,mid,T,implied_vol,yf_implied_vol,volume
put,50.0,2027-06-17,0.03,1.0904109589041096,0.8240340115550638,0.8125018749999999,5
put,50.0,2028-06-16,0.08,2.0904109589041098,0.6558749495238703,0.6367223828125,2
put,55.0,2027-06-17,0.035,1.0904109589041096,0.8040616603731658,0.789064609375,3
put,60.0,2027-06-17,0.04,1.0904109589041096,0.7851049154346387,0.77148666015625,5
put,60.0,2028-06-16,0.16,2.0904109589041098,0.6526062513537345,0.2500075,2
put,65.0,2027-06-17,0.065,1.0904109589041096,0.791589784753537,0.7773459765625,1
put,65.0,2028-06-16,0.19,2.0904109589041098,0.6426819401954031,0.2500075,1
put,70.0,2027-06-17,0.060000000000000005,1.0904109589041096,0.7618123881018709,0.7480493945312501,2
put,70.0,2028-06-16,0.14,2.0904109589041098,0.6040548957362836,0.5844768115234374,15
put,75.0,2027-06-17,0.07,1.0904109589041096,0.7493220225329635,0.73633076171875,1
put,75.0,2028-06-16,0.16,2.0904109589041098,0.5941487189122833,0.5742230078125,10
put,80.0,2027-06-17,0.08,1.0904109589041096,0.7367585016598135,0.7226590234375,1
put,85.0,2027-06-17,0.09,1.0904109589041096,0.7242901673309895,0.710940390625,1
put,90.0,2027-06-17,0.19,1.0904109589041096,0.7578291231972689,0.500005,300
put,90.0,2028-06-16,0.245,2.0904109589041098,0.5716678070767014,0.5512740185546876,1
put,95.0,2027-06-17,0.115,1.0904109589041096,0.7029091451814515,0.6884796777343751,10
put,95.0,2028-06-16,0.43999999999999995,2.0904109589041098,0.5949454266583809,0.5732464550781251,2
put,100.0,2027-06-17,0.13,1.0904109589041096,0.6934919941804821,0.6796907031250001,1
put,100.0,2028-06-16,0.32,2.0904109589041098,0.5595195366685055,0.5385788330078126,20
put,105.0,2027-06-17,0.23,1.0904109589041096,0.7166053549464106,0.2500075,1
put,105.0,2028-06-16,0.43,2.0904109589041098,0.5648630727565126,0.2500075,1
put,110.0,2027-06-17,0.195,1.0904109589041096,0.6878550873366818,0.6728548339843752,0
put,110.0,2028-06-16,0.77,2.0904109589041098,0.5928339845630595,0.2500075,9
put,115.0,2027-06-17,0.18,1.0904109589041096,0.6666087699737517,0.6523472265625001,1
put,115.0,2028-06-16,0.44999999999999996,2.0904109589041098,0.5420652082324741,0.5205126074218749,20
put,120.0,2027-06-17,0.2,1.0904109589041096,0.6586446463549802,0.6440465283203125,3
put,120.0,2028-06-16,0.5,2.0904109589041098,0.5367215100043148,0.5151415673828125,1
put,125.0,2027-06-17,0.41,1.0904109589041096,0.6964402395275043,0.2500075,0
put,125.0,2028-06-16,0.62,2.0904109589041098,0.5390676593911504,0.5168505346679688,0
put,130.0,2027-06-17,0.25,1.0904109589041096,0.6451099014584175,0.6303747900390625,1
put,130.0,2028-06-16,0.605,2.0904109589041098,0.5260109040167733,0.5039112109375,3
put,135.0,2027-06-17,0.45,1.0904109589041096,0.6742562520245644,0.2500075,2
put,135.0,2028-06-16,0.66,2.0904109589041098,0.5206880892200447,0.5003712072753908,9
put,140.0,2027-06-17,0.59,1.0904109589041096,0.6820986339263114,0.2500075,1
put,140.0,2028-06-16,0.72,2.0904109589041098,0.5157116554105438,0.495122236328125,3
put,145.0,2027-06-17,0.43,1.0904109589041096,0.6433277858419119,0.6276892700195313,0
put,145.0,2028-06-16,0.78,2.0904109589041098,0.5105987699938238,0.4896291271972657,3
put,150.0,2027-06-17,0.35,1.0904109589041096,0.6157419913798767,0.6005899316406251,10
put,150.0,2028-06-16,0.845,2.0904109589041098,0.5057881948920422,0.4848684326171875,3
put,155.0,2027-06-17,0.38,1.0904109589041096,0.6091874043297476,0.5937540625000001,10
put,155.0,2028-06-16,0.91,2.0904109589041098,0.5008651293531363,0.47937532348632805,3
put,160.0,2027-06-17,0.41500000000000004,1.0904109589041096,0.6033654099133341,0.58789474609375,5
put,160.0,2028-06-16,1.335,2.0904109589041098,0.518175875237389,0.49597671997070314,0
put,165.0,2027-06-17,0.45,1.0904109589041096,0.5973532699235456,0.5817912915039063,40
put,165.0,2028-06-16,1.045,2.0904109589041098,0.49113430739753117,0.4694877270507813,3
put,170.0,2027-06-17,0.48,1.0904109589041096,0.5904764430124597,0.5747112841796875,220
put,170.0,2028-06-16,1.63,2.0904109589041098,0.5138586033298577,0.2500075,0
put,175.0,2027-06-17,0.52,1.0904109589041096,0.5849574772853962,0.5690961059570312,8
put,180.0,2027-06-17,0.56,1.0904109589041096,0.5792793583258603,0.5634809277343751,1
put,180.0,2028-06-16,1.5150000000000001,2.0904109589041098,0.4898644056935547,0.4666801379394532,8
put,185.0,2027-06-17,1.16,1.0904109589041096,0.6255614403899287,0.2500075,1
put,185.0,2028-06-16,2.02,2.0904109589041098,0.5027604447025287,0.12500875,1
put,190.0,2027-06-17,1.09,1.0904109589041096,0.6088914545955149,0.2500075,10
put,190.0,2028-06-16,1.42,2.0904109589041098,0.46804525477223424,0.44501287414550783,6
put,195.0,2027-06-17,0.6799999999999999,1.0904109589041096,0.5616556586414164,0.5455367712402344,70
put,195.0,2028-06-16,1.665,2.0904109589041098,0.47086976947358045,0.44739322143554683,4
put,200.0,2027-06-17,0.72,1.0904109589041096,0.5556708220287069,0.5395553857421876,2
put,200.0,2028-06-16,1.58,2.0904109589041098,0.459041496580911,0.43567458862304687,2
put,205.0,2027-06-17,0.77,1.0904109589041096,0.5505950044691097,0.5343064147949219,1
put,205.0,2028-06-16,1.67,2.0904109589041098,0.4549246928262721,0.4313411358642578,5
put,210.0,2027-06-17,1.33,1.0904109589041096,0.5830849615290365,0.565556102294922,6
put,210.0,2028-06-16,2.5300000000000002,2.0904109589041098,0.47771443310537315,0.452703226928711,1
put,215.0,2027-06-17,1.74,1.0904109589041096,0.5964114147871156,0.2500075,1
put,215.0,2028-06-16,1.85,2.0904109589041098,0.4465627137481847,0.4226131958007812,9
put,220.0,2027-06-17,0.91,1.0904109589041096,0.5340013753186521,0.5174608801269531,110
put,220.0,2028-06-16,1.94,2.0904109589041098,0.44234003302073166,0.4182187084960937,1
put,225.0,2027-06-17,0.96,1.0904109589041096,0.5286482479294378,0.5119677709960937,3
put,225.0,2028-06-16,2.04,2.0904109589041098,0.43844306061530935,0.4141293939208984,9
put,230.0,2027-06-17,1.02,1.0904109589041096,0.523965567912356,0.5072070764160157,1
put,230.0,2028-06-16,2.135,2.0904109589041098,0.4343434977349833,0.4100400793457031,3
put,235.0,2028-06-16,2.235,2.0904109589041098,0.43038442053217396,0.4059202474975586,33
put,240.0,2027-06-17,1.13,1.0904109589041096,0.513684708647037,0.4973194799804688,80
put,240.0,2028-06-16,2.34,2.0904109589041098,0.42655260257037303,0.40180041564941404,3
put,245.0,2027-06-17,2.18,1.0904109589041096,0.5578589752797526,0.2500075,1
put,245.0,2028-06-16,2.4450000000000003,2.0904109589041098,0.422692027074211,0.39789420471191406,3
put,250.0,2027-06-17,1.24,1.0904109589041096,0.5032618480929906,0.4866994689941406,76
put,250.0,2028-06-16,2.5549999999999997,2.0904109589041098,0.4189478779374705,0.39398799377441407,8
put,255.0,2027-06-17,1.3050000000000002,1.0904109589041096,0.4985788721720197,0.4821829125976563,4
put,255.0,2028-06-16,2.665,2.0904109589041098,0.41517717327162923,0.39002074829101563,6
put,260.0,2027-06-17,1.37,1.0904109589041096,0.49383723580600086,0.4770560107421875,1
put,260.0,2028-06-16,2.785,2.0904109589041098,0.41164019798977924,0.3863281582641601,3
put,265.0,2027-06-17,2.285,1.0904109589041096,0.5260175104600473,0.5074512145996093,3
put,265.0,2028-06-16,2.9050000000000002,2.0904109589041098,0.4080690032976403,0.3825745336914062,20
put,270.0,2027-06-17,1.5,1.0904109589041096,0.4842217817416091,0.4672904833984375,254
put,270.0,2028-06-16,3.025,2.0904109589041098,0.4044690350706132,0.3788514263916015,10
put,275.0,2027-06-17,1.57,1.0904109589041096,0.4795985962351089,0.46252978881835943,1
put,275.0,2028-06-16,3.1500000000000004,2.0904109589041098,0.4009596800109465,0.37525038818359374,5
put,280.0,2027-06-17,1.635,1.0904109589041096,0.4747110253393182,0.4577690942382813,9
put,280.0,2028-06-16,3.275,2.0904109589041098,0.39742432514904025,0.3714662463378906,1
put,285.0,2027-06-17,3.02,1.0904109589041096,0.5167155624018501,0.12500875,4
put,285.0,2028-06-16,3.4050000000000002,2.0904109589041098,0.3939725810334982,0.3678652081298829,30
put,290.0,2027-06-17,1.79,1.0904109589041096,0.4659221006058513,0.4484918432617187,3
put,290.0,2028-06-16,5.78,2.0904109589041098,0.4297517635555294,0.12500875,1
put,295.0,2027-06-17,1.86,1.0904109589041096,0.4611613189754357,0.4436701141357422,18
put,295.0,2028-06-16,4.645,2.0904109589041098,0.4048780834573138,0.3774171145629882,1
put,300.0,2027-06-17,1.94,1.0904109589041096,0.4567653662282189,0.4391535577392578,2
put,300.0,2028-06-16,5.08,2.0904109589041098,0.4057948144863711,0.12500875,1
put,305.0,2027-06-17,3.03,1.0904109589041096,0.48460234873868846,0.12500875,1
put,305.0,2028-06-16,5.35,2.0904109589041098,0.4037810572194427,0.12500875,6
